date,arrival,(t-5),(t-4),(t-3),(t-2),(t-1)
2019-08-06,2630,3754,3309,3253,4250,3128
2019-08-07,3458,3309,3253,4250,3128,2630
2019-08-08,2726,3253,4250,3128,2630,3458
2019-08-09,3358,4250,3128,2630,3458,2726
2019-08-10,3743,3128,2630,3458,2726,3358
2019-08-11,5270,2630,3458,2726,3358,3743
2019-08-12,3263,3458,2726,3358,3743,5270
2019-08-13,2824,2726,3358,3743,5270,3263
2019-08-14,3432,3358,3743,5270,3263,2824
2019-08-15,3492,3743,5270,3263,2824,3432
2019-08-16,3508,5270,3263,2824,3432,3492
2019-08-17,3359,3263,2824,3432,3492,3508
2019-08-18,4304,2824,3432,3492,3508,3359
2019-08-19,3479,3432,3492,3508,3359,4304
2019-08-20,3393,3492,3508,3359,4304,3479
2019-08-21,3913,3508,3359,4304,3479,3393
2019-08-22,3942,3359,4304,3479,3393,3913
2019-08-23,3633,4304,3479,3393,3913,3942
2019-08-24,3790,3479,3393,3913,3942,3633
2019-08-25,4345,3393,3913,3942,3633,3790
2019-08-26,3471,3913,3942,3633,3790,4345
2019-08-27,3280,3942,3633,3790,4345,3471
2019-08-28,3641,3633,3790,4345,3471,3280
2019-08-29,3276,3790,4345,3471,3280,3641
2019-08-30,3452,4345,3471,3280,3641,3276
2019-08-31,3398,3471,3280,3641,3276,3452
2019-09-01,3262,3280,3641,3276,3452,3398
2019-09-02,3302,3641,3276,3452,3398,3262
2019-09-03,3067,3276,3452,3398,3262,3302
2019-09-04,2968,3452,3398,3262,3302,3067
2019-09-05,3046,3398,3262,3302,3067,2968
2019-09-06,3330,3262,3302,3067,2968,3046
2019-09-07,2865,3302,3067,2968,3046,3330
2019-09-08,3918,3067,2968,3046,3330,2865
2019-09-09,3132,2968,3046,3330,2865,3918
2019-09-10,2417,3046,3330,2865,3918,3132
2019-09-11,3114,3330,2865,3918,3132,2417
2019-09-12,2659,2865,3918,3132,2417,3114
2019-09-13,2631,3918,3132,2417,3114,2659
2019-09-14,2855,3132,2417,3114,2659,2631
2019-09-15,3425,2417,3114,2659,2631,2855
2019-09-16,2865,3114,2659,2631,2855,3425
2019-09-17,2543,2659,2631,2855,3425,2865
2019-09-18,2213,2631,2855,3425,2865,2543
2019-09-19,2775,2855,3425,2865,2543,2213
2019-09-20,3341,3425,2865,2543,2213,2775
2019-09-21,2720,2865,2543,2213,2775,3341
2019-09-22,1672,2543,2213,2775,3341,2720
2019-09-23,5192,2213,2775,3341,2720,1672
2019-09-24,3487,2775,3341,2720,1672,5192
2019-09-25,2398,3341,2720,1672,5192,3487
2019-09-26,2950,2720,1672,5192,3487,2398
2019-09-27,3357,1672,5192,3487,2398,2950
2019-09-28,3572,5192,3487,2398,2950,3357
2019-09-29,3201,3487,2398,2950,3357,3572
2019-09-30,2679,2398,2950,3357,3572,3201
2019-10-01,2557,2950,3357,3572,3201,2679
2019-10-02,3388,3357,3572,3201,2679,2557
2019-10-03,4176,3572,3201,2679,2557,3388
2019-10-04,3360,3201,2679,2557,3388,4176
2019-10-05,3732,2679,2557,3388,4176,3360
2019-10-06,4121,2557,3388,4176,3360,3732
2019-10-07,3264,3388,4176,3360,3732,4121
2019-10-08,2962,4176,3360,3732,4121,3264
2019-10-09,2749,3360,3732,4121,3264,2962
2019-10-10,3381,3732,4121,3264,2962,2749
2019-10-11,3480,4121,3264,2962,2749,3381
2019-10-12,3292,3264,2962,2749,3381,3480
2019-10-13,3814,2962,2749,3381,3480,3292
2019-10-14,3261,2749,3381,3480,3292,3814
2019-10-15,2520,3381,3480,3292,3814,3261
2019-10-16,3239,3480,3292,3814,3261,2520
2019-10-17,3341,3292,3814,3261,2520,3239
2019-10-18,3576,3814,3261,2520,3239,3341
2019-10-19,3741,3261,2520,3239,3341,3576
2019-10-20,3988,2520,3239,3341,3576,3741
2019-10-21,3450,3239,3341,3576,3741,3988
2019-10-22,3337,3341,3576,3741,3988,3450
2019-10-23,3312,3576,3741,3988,3450,3337
2019-10-24,3176,3741,3988,3450,3337,3312
2019-10-25,3613,3988,3450,3337,3312,3176
2019-10-26,3393,3450,3337,3312,3176,3613
2019-10-27,3353,3337,3312,3176,3613,3393
2019-10-28,3134,3312,3176,3613,3393,3353
2019-10-29,3052,3176,3613,3393,3353,3134
2019-10-30,2662,3613,3393,3353,3134,3052
2019-10-31,3074,3393,3353,3134,3052,2662
